location,list_price,unit_price,number_bedroom,number_bathroom,area,type
"Johor Bahru, Johor","RM 740,000","(RM 3,795 / m2)",4,4,195 m2,House
"Johor Bahru, Johor","RM 588,000","(RM 4,630 / m2)",3,2,127 m2,House
"Sepang, Selangor","RM 210,000",,2,1,,Condo
"Sepang, Selangor","RM 225,000",,2,1,,Condo
"Sepang, Selangor","RM 230,000",,2,1,,Condo
"Sepang, Selangor","RM 210,000",,2,1,,Condo
"Johor Bahru, Johor","RM 118,000","(RM 2,565 / m2)",2,1,46 m2,Apartment
"Johor Bahru, Johor","RM 948,000","(RM 5,417 / m2)",4,4,175 m2,House
"Johor Bahru, Johor","RM 950,000","(RM 3,532 / m2)",4,4,269 m2,House
"Johor Bahru, Johor","RM 950,000","(RM 3,532 / m2)",4,4,269 m2,House
"Sepang, Selangor","RM 230,000","(RM 5,502 / m2)",2,1,41.8 m2,Condo
"Sepang, Selangor","RM 230,000","(RM 4,952 / m2)",2,1,46.45 m2,Condo
"Sepang, Selangor","RM 230,000","(RM 5,502 / m2)",2,1,41.8 m2,Condo
"Sepang, Selangor","RM 230,000","(RM 5,502 / m2)",2,1,41.8 m2,Condo
"Sepang, Selangor","RM 380,000","(RM 3,146 / m2)",4,3,120.77 m2,Condo
"Sepang, Selangor","RM 380,000","(RM 3,146 / m2)",4,3,120.77 m2,Condo
"Sepang, Selangor","RM 230,000","(RM 5,502 / m2)",2,1,41.8 m2,Condo
"Sepang, Selangor","RM 300,000","(RM 3,357 / m2)",3,2,89.37 m2,Condo
"Sepang, Selangor","RM 230,000","(RM 5,502 / m2)",2,1,41.8 m2,Condo
"Sepang, Selangor","RM 230,000","(RM 5,502 / m2)",2,1,41.8 m2,Condo
"Sepang, Selangor","RM 230,000","(RM 5,502 / m2)",2,1,41.8 m2,Condo
"Sepang, Selangor","RM 230,000","(RM 5,502 / m2)",2,1,41.8 m2,Condo
"Sepang, Selangor","RM 230,000","(RM 5,502 / m2)",2,1,41.8 m2,Condo
"Sepang, Selangor","RM 380,000","(RM 3,146 / m2)",5,3,120.77 m2,Condo
"Sepang, Selangor","RM 230,000","(RM 5,502 / m2)",2,1,41.8 m2,Condo
"Sepang, Selangor","RM 230,000","(RM 5,502 / m2)",,,41.8 m2,Condo
"Johor Bahru, Johor","RM 290,000","(RM 5,923 / m2)",1,1,48.96 m2,Condo
"Johor Bahru, Johor","RM 680,000","(RM 15,111 / m2)",1,1,45 m2,Condo
"Johor Bahru, Johor","RM 730,000","(RM 5,105 / m2)",3,2,143 m2,House
"Sepang, Selangor","RM 380,000","(RM 3,146 / m2)",4,3,120.77 m2,Condo
"Sepang, Selangor","RM 380,000","(RM 3,146 / m2)",4,3,120.77 m2,Condo
"Putrajaya, Putrajaya","RM 230,000","(RM 5,502 / m2)",2,1,41.8 m2,Condo
"Johor Bahru, Johor","RM 510,000","(RM 3,188 / m2)",3,,160 m2,House
"Putrajaya, Putrajaya","RM 230,000","(RM 5,502 / m2)",2,1,41.8 m2,Condo
"Sepang, Selangor","RM 380,000","(RM 3,146 / m2)",5,3,120.77 m2,Condo
"Sepang, Selangor","RM 230,000","(RM 5,502 / m2)",2,1,41.8 m2,Condo
"Sepang, Selangor","RM 230,000","(RM 5,502 / m2)",2,1,41.8 m2,Condo
"Sepang, Selangor","RM 300,000","(RM 3,357 / m2)",3,2,89.37 m2,Condo
"Sepang, Selangor","RM 230,000","(RM 4,952 / m2)",2,1,46.45 m2,Condo
"Sepang, Selangor","RM 380,000","(RM 3,146 / m2)",5,3,120.77 m2,Condo
"Putrajaya, Putrajaya","RM 230,000","(RM 4,952 / m2)",2,1,46.45 m2,Condo
"Putrajaya, Putrajaya","RM 230,000","(RM 5,502 / m2)",2,1,41.8 m2,Condo
"Petaling, Selangor","RM 400,000",,3,2,,Condo
"Johor Bahru, Johor","RM 360,000","(RM 3,186 / m2)",3,3,113 m2,Condo
"Petaling, Selangor","RM 592,200",,3,2,,Condo
"Sepang, Selangor","RM 340,000",,4,2,,Condo
"Sepang, Selangor","RM 340,000",,4,2,,Condo
"Seremban, Negeri Sembilan","RM 320,000",,4,3,,Condo
"Sepang, Selangor","RM 340,000",,4,2,,Condo
"Sepang, Selangor","RM 340,000",,4,2,,Condo
"Sepang, Selangor","RM 340,000",,4,2,,Condo
"Seremban, Negeri Sembilan","RM 320,000",,4,2,,Condo
"Sepang, Selangor","RM 230,000",,2,1,,Condo
"Johor Bahru, Johor","RM 380,000","(RM 3,455 / m2)",5,3,109.99 m2,Condo
"Sepang, Selangor","RM 300,000","(RM 3,357 / m2)",3,2,89.37 m2,Condo
"Kuala Lumpur, Kuala Lumpur","RM 1,000,000",,4,3,,Condo
"Sepang, Selangor","RM 380,000","(RM 3,146 / m2)",4,3,120.77 m2,Condo
"Petaling, Selangor","RM 660,000","(RM 4,583 / m2)",4,3,144 m2,House
"Putrajaya, Putrajaya","RM 230,000","(RM 4,952 / m2)",2,1,46.45 m2,Condo
"Petaling, Selangor","RM 430,000",,3,2,,Condo
"Petaling, Selangor","RM 400,000",,3,2,,Condo
"Kuala Lumpur, Kuala Lumpur","RM 420,000","(RM 5,197 / m2)",3,2,80.82 m2,Condo
"Kuala Lumpur, Kuala Lumpur","RM 420,000","(RM 5,197 / m2)",3,2,80.82 m2,Condo
"Kuala Lumpur, Kuala Lumpur","RM 420,000","(RM 5,197 / m2)",3,2,80.82 m2,Condo
"Kuala Lumpur, Kuala Lumpur","RM 420,000","(RM 5,197 / m2)",3,2,80.82 m2,Condo
"Kuala Lumpur, Kuala Lumpur","RM 420,000","(RM 5,197 / m2)",3,2,80.82 m2,Condo
"Kuala Lumpur, Kuala Lumpur","RM 1,000,000",,4,3,,Condo
"Kuala Lumpur, Kuala Lumpur","RM 1,000,000",,4,3,,Condo
"Kuala Lumpur, Kuala Lumpur","RM 1,000,000",,4,3,,Condo
"Kuala Lumpur, Kuala Lumpur","RM 1,000,000",,4,3,,Condo
"Kuala Lumpur, Kuala Lumpur","RM 1,000,000",,4,3,,Condo
"Johor Bahru, Johor","RM 2,450,000","(RM 5,280 / m2)",8,8,464 m2,House
"Johor Bahru, Johor","RM 958,000",(RM 435 / m2),4,3,"2,200 m2",Villa
"Johor Bahru, Johor","RM 345,000",(RM 308 / m2),3,,"1,120 m2",House
"Johor Bahru, Johor","RM 468,000",,4,3,,House
"Petaling, Selangor","RM 1,200,000","(RM 4,364 / m2)",5,5,275 m2,Condo
"Johor Bahru, Johor","RM 688,000","(RM 3,475 / m2)",4,3,198 m2,House
"Johor Bahru, Johor","RM 688,000","(RM 3,475 / m2)",4,3,198 m2,House
"Johor Bahru, Johor","RM 630,000","(RM 3,481 / m2)",4,3,181 m2,House
"Johor Bahru, Johor","RM 630,000","(RM 3,481 / m2)",4,3,181 m2,House
"Kuala Lumpur, Kuala Lumpur","RM 430,000",,3,2,,Condo
"Kuala Lumpur, Kuala Lumpur","RM 400,000",,3,2,,Condo
"Kuala Lumpur, Kuala Lumpur","RM 700,000",,4,3,,Condo
"Kuala Lumpur, Kuala Lumpur","RM 1,000,000",,4,3,,Condo
"Kuala Lumpur, Kuala Lumpur","RM 700,000",,4,3,,Condo
"Johor Bahru, Johor","RM 1,500,000","(RM 5,051 / m2)",5,5,297 m2,House
"Johor Bahru, Johor","RM 435,000",,4,3,,House
"Kuala Lumpur, Kuala Lumpur","RM 700,000",,4,3,,Condo
"Johor Bahru, Johor","RM 3,250,000","(RM 5,985 / m2)",6,7,543 m2,Villa
"Johor Bahru, Johor","RM 3,250,000","(RM 5,985 / m2)",6,6,543 m2,Villa
"Johor Bahru, Johor","RM 1,100,000","(RM 5,920 / m2)",4,3,185.8 m2,Villa
"Kuala Lumpur, Kuala Lumpur","RM 430,000",,3,2,,Condo
"Sepang, Selangor","RM 225,000",,,,,Condo
"Sepang, Selangor","RM 225,000",,,,,Condo
"Johor Bahru, Johor","RM 738,000","(RM 3,864 / m2)",4,3,191 m2,House
"Kuala Lumpur, Kuala Lumpur","RM 544,000",,1,1,,Condo
"Johor Bahru, Johor","RM 928,000","(RM 3,639 / m2)",4,3,255 m2,House
"Johor Bahru, Johor","RM 928,000","(RM 3,639 / m2)",4,3,255 m2,House
"Kuala Lumpur, Kuala Lumpur","RM 567,000",,1,1,,Condo
"Kuala Lumpur, Kuala Lumpur","RM 532,000",,1,1,,Condo
"Kuala Lumpur, Kuala Lumpur","RM 685,000",,2,1,,Condo
"Kuala Lumpur, Kuala Lumpur","RM 862,000",,2,1,,Condo
"Kuala Lumpur, Kuala Lumpur","RM 719,000",,2,1,,Condo
"Putrajaya, Putrajaya","RM 400,000",,3,2,,Condo
"Putrajaya, Putrajaya","RM 592,200",,3,3,,Condo
"Putrajaya, Putrajaya","RM 340,000",,4,2,,Condo
"Putrajaya, Putrajaya","RM 210,000",,1,1,,Condo
"Kuala Lumpur, Kuala Lumpur","RM 696,000",,2,1,,Condo
"Kuala Lumpur, Kuala Lumpur","RM 575,000",,2,1,,Condo
"Kuala Lumpur, Kuala Lumpur","RM 707,000",,2,1,,Condo
"Johor Bahru, Johor","RM 578,000","(RM 4,446 / m2)",5,,130 m2,House
"Kuala Lumpur, Kuala Lumpur","RM 612,000",,2,1,,Condo
"Kuala Lumpur, Kuala Lumpur","RM 568,000",,2,1,,Condo
"Johor Bahru, Johor","RM 2,050,000","(RM 4,597 / m2)",,6,445.92 m2,Commercial
"Putrajaya, Putrajaya","RM 340,000",,4,2,,Condo
"Putrajaya, Putrajaya","RM 340,000",,4,2,,Condo
"Putrajaya, Putrajaya","RM 210,000",,1,1,,Condo
"Johor Bahru, Johor","RM 1,200,000","(RM 3,588 / m2)",,2,334.44 m2,Commercial
"Johor Bahru, Johor","RM 2,750,000","(RM 1,786 / m2)",,2,"1,540 m2",Commercial
"Johor Bahru, Johor","RM 5,600,000",,1,6,,Commercial
"Kuala Langat, Selangor","RM 450,000",,4,3,,House
"Kuala Lumpur, Kuala Lumpur","RM 17,139,000","(RM 16,207 / m2)",,,"1,057.48 m2",Office
"Kuala Lumpur, Kuala Lumpur","RM 1,655,000","(RM 15,920 / m2)",,,103.96 m2,Office
"Kuala Lumpur, Kuala Lumpur","RM 1,774,000","(RM 16,129 / m2)",,,109.99 m2,Office
"Kuala Lumpur, Kuala Lumpur","RM 10,050,000","(RM 9,757 / m2)",,,"1,029.98 m2",Office
"Kuala Lumpur, Kuala Lumpur","RM 15,700,000","(RM 16,510 / m2)",,,950.92 m2,Office
"Kuala Lumpur, Kuala Lumpur","RM 10,940,000","(RM 10,037 / m2)",,,"1,090 m2",Office
"Kuala Lumpur, Kuala Lumpur","RM 11,090,000","(RM 9,797 / m2)",,,"1,131.99 m2",Office
"Kuala Lumpur, Kuala Lumpur","RM 2,048,200","(RM 11,841 / m2)",,,172.98 m2,Office
"Kuala Lumpur, Kuala Lumpur","RM 957,950","(RM 12,378 / m2)",,,77.39 m2,Office
"Kuala Lumpur, Kuala Lumpur","RM 5,592,000","(RM 16,946 / m2)",,,329.98 m2,Office
"Kuala Lumpur, Kuala Lumpur","RM 1,679,000","(RM 16,627 / m2)",,,100.98 m2,Office
"Kuala Lumpur, Kuala Lumpur","RM 4,284,800","(RM 6,889 / m2)",,,621.97 m2,Office
"Kuala Lumpur, Kuala Lumpur","RM 10,100,000","(RM 10,040 / m2)",,,"1,006.01 m2",Office
"Johor Bahru, Johor","RM 1,050,000",,5,5,,Villa
"Kuala Lumpur, Kuala Lumpur","RM 197,000",,2,1,,Condo
Johor,"RM 580,000",,,4,,Commercial
"Klang, Selangor","RM 14,262,504",,,,"18,928.38 m2",
"Klang, Selangor","RM 31,889,269",,,,"42,321.62 m2",
"Johor Bahru, Johor","RM 990,000","(RM 6,181 / m2)",,,160.16 m2,Commercial
"Klang, Selangor","RM 17,626,764",,,,"23,393.23 m2",
"Johor Bahru, Johor","RM 2,500,000","(RM 5,470 / m2)",,,457 m2,Commercial
"Johor Bahru, Johor","RM 435,000",,,2,,Commercial
"Johor Bahru, Johor","RM 5,000,000",,,,"5,411.97 m2",
"Johor Bahru, Johor","RM 2,800,000","(RM 5,070 / m2)",,,552.31 m2,Commercial
"Johor Bahru, Johor","RM 4,224,690",,,,"4,361 m2",
"Kuala Lumpur, Kuala Lumpur","RM 2,100,000","(RM 5,707 / m2)",,,368 m2,Commercial
"Pontian, Johor","RM 6,783,722",,,,"33,170 m2",
